,year,participation,edition,DIRECTING,FILM EDITING,ACTOR IN A SUPPORTING ROLE,ACTRESS IN A SUPPORTING ROLE,DOCUMENTARY (Short Subject),DOCUMENTARY (Feature),CINEMATOGRAPHY,FOREIGN LANGUAGE FILM,HONORARY AWARD,ART DIRECTION,BEST PICTURE,COSTUME DESIGN,ACTRESS,ACTOR,SOUND,SHORT FILM (Animated),SHORT FILM (Live Action),MUSIC (Original Song),MUSIC (Original Score),ACTOR IN A LEADING ROLE,ACTRESS IN A LEADING ROLE,SHORT SUBJECT (Cartoon),IRVING G. THALBERG MEMORIAL AWARD,JEAN HERSHOLT HUMANITARIAN AWARD,VISUAL EFFECTS,MUSIC (Song),MAKEUP,SOUND RECORDING,CINEMATOGRAPHY (Black-and-White),CINEMATOGRAPHY (Color),SPECIAL EFFECTS,ART DIRECTION (Black-and-White),ART DIRECTION (Color),WRITING (Original Screenplay),WRITING (Screenplay Written Directly for the Screen),SHORT SUBJECT (One-reel),WRITING (Screenplay),SHORT SUBJECT (Two-reel),MUSIC (Scoring of a Musical Picture),MUSIC (Music Score of a Dramatic or Comedy Picture),WRITING (Screenplay--based on material from another medium),SPECIAL AWARD,BEST MOTION PICTURE,SOUND EDITING,SHORT SUBJECT (Live Action),COSTUME DESIGN (Black-and-White),COSTUME DESIGN (Color),SOUND EFFECTS EDITING,ANIMATED FEATURE FILM,WRITING (Adapted Screenplay),SOUND MIXING,WRITING (Screenplay Based on Material from Another Medium),WRITING (Original Story),WRITING (Story and Screenplay--written directly for the screen),OUTSTANDING PRODUCTION,WRITING (Screenplay Based on Material Previously Produced or Published),WRITING (Motion Picture Story),SPECIAL ACHIEVEMENT AWARD (Visual Effects),SPECIAL VISUAL EFFECTS,MUSIC (Original Dramatic Score),MUSIC (Scoring),WRITING (Story and Screenplay),MUSIC (Scoring of Music--adaptation or treatment),SOUND EFFECTS,MAKEUP AND HAIRSTYLING,WRITING (Adaptation),MUSIC (Song--Original for the Picture),PRODUCTION DESIGN,WRITING (Original Motion Picture Story),ASSISTANT DIRECTOR,HONORARY FOREIGN LANGUAGE FILM AWARD,SHORT SUBJECT (Comedy),WRITING (Story and Screenplay--based on factual material or material not previously published or produced),MUSIC (Music Score--substantially original),SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),MUSIC (Original Musical or Comedy Score),SHORT SUBJECT (Novelty),OUTSTANDING MOTION PICTURE,SPECIAL ACHIEVEMENT AWARD,SHORT SUBJECT (Animated),MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),DANCE DIRECTION,WRITING,SPECIAL FOREIGN LANGUAGE FILM AWARD,WRITING (Screenplay Adapted from Other Material),MUSIC (Original Music Score),WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),MUSIC (Original Score--for a motion picture [not a musical]),MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),MUSIC (Original Song Score and Its Adaptation or Adaptation Score),MUSIC (Original Song Score),MUSIC (Score of a Musical Picture--original or adaptation),SHORT SUBJECT (Color),MUSIC (Scoring: Adaptation and Original Song Score),OUTSTANDING PICTURE,WRITING (Screenplay--Adapted),WRITING (Story and Screenplay--based on material not previously published or produced),WRITING (Screenplay--Original),ENGINEERING EFFECTS,UNIQUE AND ARTISTIC PICTURE,SPECIAL ACHIEVEMENT AWARD (Sound Effects),SPECIAL ACHIEVEMENT AWARD (Sound Editing),DOCUMENTARY,SHORT FILM (Dramatic Live Action),MUSIC (Original Song Score or Adaptation Score),MUSIC (Music Score of a Dramatic Picture),MUSIC (Adaptation Score),DIRECTING (Comedy Picture),DIRECTING (Dramatic Picture),WRITING (Title Writing)
0,1929,13,1,,,,,,,Sunrise,,,William Cameron Menzies,,,Janet Gaynor,Emil Jannings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Underworld,,,,,,,,,,,,,7th Heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paramount Famous Lasky,,,,Roy Pomeroy,Fox,,,,,,,,Lewis Milestone,Frank Borzage,
1,1930,7,2,Frank Lloyd,,,,,,White Shadows in the South Seas,,,Cedric Gibbons,,,Mary Pickford,Warner Baxter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Patriot,,,,,,,,,,,,Metro-Goldwyn-Mayer,,,,,,,,,,,,,,,
2,1931,8,3,Lewis Milestone,,,,,,With Byrd at the South Pole,,,Herman Rosse,,,Norma Shearer,George Arliss,,,,,,,,,,,,,,The Big House,,,,,,,,,,,,,,,,,,,,,,,,,,,All Quiet on the Western Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Big House,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1932,9,4,Norman Taurog,,,,,,Tabu,,,Max Rée,,,Marie Dressler,Lionel Barrymore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Dawn Patrol,,Cimarron,,,,,,,,,,,Cimarron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1933,13,5,Frank Borzage,,,,,,Shanghai Express,,,Gordon Wiles,,,Helen Hayes,Wallace Beery,,,,,,,,Flowers and Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Champ,,Grand Hotel,,,,,,,,,,,Bad Girl,,,,,,The Music Box,,,,,Wrestling Swordfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1934,13,6,Frank Lloyd,,,,,,A Farewell to Arms,,,William S. Darling,,,Katharine Hepburn,Charles Laughton,,,,,,,,The Three Little Pigs,,,,,,A Farewell to Arms,,,,,,,,,,,,,,,,,,,,,,,,,One Way Passage,,Cavalcade,,,,,,,,,,,Little Women,,,,William Tummel (Fox),,So This Is Harris,,,,,Krakatoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1935,17,7,Frank Capra,Eskimo,,,,,Cleopatra,,,"Cedric Gibbons, Fredric Hope",,,Claudette Colbert,Clark Gable,,,,,,,,The Tortoise and the Hare,,,,The Gay Divorcee,,One Night of Love,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan Melodrama,,It Happened One Night,,,,,,One Night of Love,,,,,It Happened One Night,,,,John Waters,,La Cucaracha,,,,,City of Wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1936,18,8,John Ford,A Midsummer Night's Dream,,,,,A Midsummer Night's Dream,,,Richard Day,,,Bette Davis,Victor McLaglen,,,,,,,,Three Orphan Kittens,,,,Gold Diggers of 1935,,Naughty Marietta,,,,,,,,,The Informer,,,,,,,,,,,,,,,,The Scoundrel,,Mutiny on the Bounty,,,,,,The Informer,,,,,,,,,"Clem Beauchamp, Paul Wing",,How to Sleep,,,,,Wings over Mt. Everest,,,,,Dave Gould,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1937,21,9,Frank Capra,Anthony Adverse,Walter Brennan,Gale Sondergaard,,,Anthony Adverse,,,Richard Day,,,Luise Rainer,Paul Muni,,,,,,,,The Country Cousin,,,,Swing Time,,San Francisco,,,,,,,,Bored of Education,The Story of Louis Pasteur,The Public Pays,,,,,,,,,,,,,,,The Story of Louis Pasteur,,The Great Ziegfeld,,,,,,Anthony Adverse,,,,,,,,,Jack Sullivan,,,,,,,,,,,,Seymour Felix,,,,,,,,,,,Give Me Liberty,,,,,,,,,,,,,,,,,
9,1938,22,10,Leo McCarey,Lost Horizon,Joseph Schildkraut,Alice Brady,,,The Good Earth,,,Stephen Goosson,,,Luise Rainer,Spencer Tracy,,,,,,,,The Old Mill,,,,Waikiki Wedding,,The Hurricane,,,,,,,,The Private Life of the Gannets,The Life of Emile Zola,Torture Money,,,,,,,,,,,,,,,A Star Is Born,,The Life of Emile Zola,,,,,,One Hundred Men and a Girl,,,,,,,,,Robert Webb,,,,,,,,,,,,Hermes Pan,,,,,,,,,,,Penny Wisdom,,,,,,,,,,,,,,,,,
10,1939,20,11,Frank Capra,The Adventures of Robin Hood,Walter Brennan,Fay Bainter,,,The Great Waltz,,,Carl J. Weyl,,,Bette Davis,Spencer Tracy,,,,,The Adventures of Robin Hood,,,Ferdinand the Bull,,,,The Big Broadcast of 1938,,The Cowboy and the Lady,,,,,,,,That Mothers Might Live,Pygmalion,Declaration of Independence,,,,,,,,,,,,,,,Boys Town,,You Can't Take It with You,,,,,,Alexander's Ragtime Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1940,22,12,Victor Fleming,Gone with the Wind,Thomas Mitchell,Hattie McDaniel,,,,,,Lyle Wheeler,,,Vivien Leigh,Robert Donat,,,,,The Wizard of Oz,,,The Ugly Duckling,,,,The Wizard of Oz,,When Tomorrow Comes,Wuthering Heights,Gone with the Wind,"Fred Sersen, E. H. Hansen",,,,,Busy Little Bears,Gone with the Wind,Sons of Liberty,,,,,,,,,,,,,,,Mr. Smith Goes to Washington,,Gone with the Wind,,,,,,Stagecoach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1941,23,13,John Ford,North West Mounted Police,Walter Brennan,Jane Darwell,,,,,,,,,Ginger Rogers,James Stewart,,,,,Pinocchio,,,The Milky Way,,,,Pinocchio,,Strike Up the Band,Rebecca,The Thief of Bagdad,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney,"Cedric Gibbons, Paul Groesse",Vincent Korda,The Great McGinty,,Quicker 'N a Wink,The Philadelphia Story,"Teddy, the Rough Rider",,,,,,,,,,,,,,,"Arise, My Love",,Rebecca,,,,,,Tin Pan Alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1942,25,14,John Ford,Sergeant York,Donald Crisp,Mary Astor,Churchill's Island,,,,,,,,Joan Fontaine,Gary Cooper,,,,,,,,Lend a Paw,,,,Lady Be Good,,That Hamilton Woman,How Green Was My Valley,Blood and Sand,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop","Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little","Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis",Citizen Kane,,Of Pups and Puzzles,Here Comes Mr. Jordan,Main Street on the March!,Dumbo,,,,,,,,,,,,,,Here Comes Mr. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,20th Century-Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,All That Money Can Buy,,,,
14,1943,25,15,William Wyler,The Pride of the Yankees,Van Heflin,Teresa Wright,,,,,,,,,Greer Garson,James Cagney,,,,,,,,Der Fuehrer's Face,,,,Holiday Inn,,Yankee Doodle Dandy,Mrs. Miniver,The Black Swan,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop","Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little","Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",Woman of the Year,,Speaking of Animals and Their Families,Mrs. Miniver,Beyond the Line of Duty,Yankee Doodle Dandy,"Now, Voyager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Invaders,,,,,,,,,Metro-Goldwyn-Mayer,,,,,,,,,,,,,,,,,,,,,,,,,The Battle of Midway,,,,,,,
15,1944,26,16,Michael Curtiz,Air Force,Charles Coburn,Katina Paxinou,December 7th,Desert Victory,,,,,,,Jennifer Jones,Paul Lukas,,,,,,,,Yankee Doodle Mouse,,,,"Hello, Frisco, Hello",,This Land Is Mine,The Song of Bernadette,Phantom of the Opera,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,"Art Direction:  James Basevi, William Darling;  Interior Decoration:  Thomas Little","Art Direction:  John B. Goodman, Alexander Golitzen;  Interior Decoration:  Russell A. Gausman, Ira S. Webb",Princess O'Rourke,,Amphibious Fighters,Casablanca,Heavenly Music,This Is the Army,The Song of Bernadette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Human Comedy,,,,,,,,,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1945,26,17,Leo McCarey,Wilson,Barry Fitzgerald,Ethel Barrymore,With the Marines at Tarawa,The Fighting Lady,,,,,,,Ingrid Bergman,Bing Crosby,,,,,,,,Mouse Trouble,,,,Going My Way,,Wilson,Laura,Wilson,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer","Art Direction:  Cedric Gibbons, William Ferrari;  Interior Decoration:  Edwin B. Willis, Paul Huldschinsky",Art Direction:  Wiard Ihnen;  Interior Decoration:  Thomas Little,Wilson,,Who's Who in Animal Land,Going My Way,I Won't Play,Cover Girl,Since You Went Away,,,Paramount,,,,,,,,,,,,,,,,,,,,,,,,,,Going My Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1946,25,18,Billy Wilder,National Velvet,James Dunn,Anne Revere,Hitler Lives?,The True Glory,,,,,,,Joan Crawford,Ray Milland,,,,,,,,Quiet Please!,,,,State Fair,,The Bells of St. Mary's,The Picture of Dorian Gray,Leave Her to Heaven,Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns,Art Direction:  Wiard Ihnen;  Interior Decoration:  A. Roland Fields,"Art Direction:  Hans Dreier, Ernst Fegte;  Interior Decoration:  Sam Comer",Marie-Louise,,Stairway to Light,The Lost Weekend,Star in the Night,Anchors Aweigh,Spellbound,,,Paramount,,,,,,,,,,,,,,,,,,,,,,,,,,The House on 92nd Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1947,25,19,William Wyler,The Best Years of Our Lives,Harold Russell,Anne Baxter,Seeds of Destiny,,,,,,,,Olivia de Havilland,Fredric March,,,,,,,,The Cat Concerto,,,,The Harvey Girls,,The Jolson Story,Anna and the King of Siam,The Yearling,Special Visual Effects by Thomas Howard,"Art Direction:  Lyle Wheeler, William Darling;  Interior Decoration:  Thomas Little, Frank E. Hughes","Art Direction:  Cedric Gibbons, Paul Groesse;  Interior Decoration:  Edwin B. Willis",The Seventh Veil,,Facing Your Danger,The Best Years of Our Lives,A Boy and His Dog,The Jolson Story,The Best Years of Our Lives,,,Samuel Goldwyn Productions,,,,,,,,,,,,,,,,,,,,,,,,,,Vacation from Marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1948,25,20,Elia Kazan,Body and Soul,Edmund Gwenn,Celeste Holm,First Steps,Design for Death,,,,,,,Loretta Young,Ronald Colman,,,,,,,,Tweetie Pie,,,,Song of the South,,The Bishop's Wife,Great Expectations,Black Narcissus,"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore",Art Direction:  John Bryan;  Set Decoration:  Wilfred Shingleton,Art Direction:  Alfred Junge;  Set Decoration:  Alfred Junge,The Bachelor and the Bobby-Soxer,,Good-bye Miss Turlock,Miracle on 34th Street,Climbing the Matterhorn,Mother Wore Tights,A Double Life,,,20th Century-Fox,,,,,,,,,,,,,,Miracle on 34th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1949,28,21,John Huston,The Naked City,Walter Huston,Claire Trevor,Toward Independence,The Secret Land,,,,,,,Jane Wyman,Laurence Olivier,,,,,,,,The Little Orphan,,,,The Paleface,,The Snake Pit,The Naked City,Joan of Arc,"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart",Art Direction:  Roger K. Furse;  Set Decoration:  Carmen Dillon,Art Direction:  Hein Heckroth;  Set Decoration:  Arthur Lawson,,,Symphony of a City,The Treasure of the Sierra Madre,Seal Island,Easter Parade,The Red Shoes,,,J. Arthur Rank-Two Cities Films,,,Roger K. Furse,"Dorothy Jeakins, Karinska",,,,,,,,,,The Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1950,28,22,Joseph L. Mankiewicz,Champion,Dean Jagger,Mercedes McCambridge,A Chance to Live,Daybreak in Udi,,,,,,,Olivia de Havilland,Broderick Crawford,,,,,,,,For Scent-Imental Reasons,,,,Neptune's Daughter,,Twelve O'Clock High,Battleground,She Wore a Yellow Ribbon,ARKO Productions,"Art Direction:  Harry Horner, John Meehan;  Set Decoration:  Emile Kuri","Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",,,Aquatic House-Party,A Letter to Three Wives,Van Gogh,On the Town,The Heiress,,,Robert Rossen Productions,,,"Edith Head, Gile Steele","Leah Rhodes, Travilla, Marjorie Best",,,,,,,,,,The Stratton Story,,,,,Battleground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1951,29,23,Joseph L. Mankiewicz,King Solomon's Mines,George Sanders,Josephine Hull,Why Korea?,The Titan: Story of Michelangelo,,,,,,,Judy Holliday,José Ferrer,,,,,,,,Gerald McBoing-Boing,,,,"Captain Carey, U.S.A.",,All about Eve,The Third Man,King Solomon's Mines,George Pal Productions,"Art Direction:  Hans Dreier, John Meehan;  Set Decoration:  Sam Comer, Ray Moyer","Art Direction:  Hans Dreier, Walter Tyler;  Set Decoration:  Sam Comer, Ray Moyer",,,Grandad of Races,All about Eve,In Beaver Valley,Annie Get Your Gun,Sunset Blvd.,,,20th Century-Fox,,,"Edith Head, Charles LeMaire","Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling",,,,,,,,,,Panic in the Streets,,,,,Sunset Blvd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1952,29,24,George Stevens,A Place in the Sun,Karl Malden,Kim Hunter,Benjy,Kon-Tiki,,,,,,,Vivien Leigh,Humphrey Bogart,,,,,,,,The Two Mouseketeers,,,,Here Comes the Groom,,The Great Caruso,A Place in the Sun,An American in Paris,Paramount,Art Direction:  Richard Day;  Set Decoration:  George James Hopkins,"Art Direction:  Cedric Gibbons, Preston Ames;  Set Decoration:  Edwin B. Willis, Keogh Gleason",,,World of Kids,A Place in the Sun,Nature's Half Acre,An American in Paris,A Place in the Sun,,,"Arthur Freed, Producer",,,Edith Head,"Orry-Kelly, Walter Plunkett, Irene Sharaff",,,,,,,,,,Seven Days to Noon,,,,,An American in Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1953,29,25,John Ford,High Noon,Anthony Quinn,Gloria Grahame,Neighbours,The Sea around Us,,,,,,,Shirley Booth,Gary Cooper,,,,,,,,Johann Mouse,,,,High Noon,,Breaking the Sound Barrier,The Bad and the Beautiful,The Quiet Man,Metro-Goldwyn-Mayer,"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Keogh Gleason",Art Direction:  Paul Sheriff;  Set Decoration:  Marcel Vertes,,,Light in the Window: The Art of Vermeer,The Bad and the Beautiful,Water Birds,With a Song in My Heart,High Noon,,,"Cecil B. DeMille, Producer",,,Helen Rose,Marcel Vertes,,,,,,,,,,The Greatest Show on Earth,,,,,The Lavender Hill Mob,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1954,28,26,Fred Zinnemann,From Here to Eternity,Frank Sinatra,Donna Reed,The Alaskan Eskimo,The Living Desert,,,,,,,Audrey Hepburn,William Holden,,,,,,,,"Toot, Whistle, Plunk and Boom",,,,Calamity Jane,,From Here to Eternity,From Here to Eternity,Shane,Paramount Studio,"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Hugh Hunt","Art Direction:  Lyle Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Paul S. Fox",,,The Merry Wives of Windsor Overture,From Here to Eternity,Bear Country,Call Me Madam,Lili,,,"Buddy Adler, Producer",,,Edith Head,"Charles LeMaire, Emile Santiago",,,,,,,,,,Roman Holiday,,,,,Titanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1955,28,27,Elia Kazan,On the Waterfront,Edmond O'Brien,Eva Marie Saint,Thursday's Children,The Vanishing Prairie,,,,,,,Grace Kelly,Marlon Brando,,,,,,,,When Magoo Flew,,,,Three Coins in the Fountain,,The Glenn Miller Story,On the Waterfront,Three Coins in the Fountain,Walt Disney Studios,Richard Day,Art Direction:  John Meehan;  Set Decoration:  Emile Kuri,,,This Mechanical Age,The Country Girl,A Time Out of War,Seven Brides for Seven Brothers,The High and the Mighty,,,"Sam Spiegel, Producer",,,Edith Head,Sanzo Wada,,,,,,,,,,Broken Lance,,,,,On the Waterfront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1956,27,28,Delbert Mann,Picnic,Jack Lemmon,Jo Van Fleet,Men against the Arctic,Helen Keller in Her Story,,,,,,,Anna Magnani,Ernest Borgnine,,,,,,,,Speedy Gonzales,,,,Love Is a Many-Splendored Thing,,Oklahoma!,The Rose Tattoo,To Catch a Thief,Paramount Studio,"Art Direction:  Hal Pereira, Tambi Larsen;  Set Decoration:  Sam Comer, Arthur Krams","Art Direction:  William Flannery, Jo Mielziner;  Set Decoration:  Robert Priestley",,,Survival City,Marty,The Face of Lincoln,Oklahoma!,Love Is a Many-Splendored Thing,,,"Harold Hecht, Producer",,,Helen Rose,Charles LeMaire,,,,,,,,,,Love Me or Leave Me,,,,,Interrupted Melody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
